webPublicationDate,webTitle,label,score,anger,fear,joy,sadness,love,surprise
2022-10-22T01:24:17Z,Russian and US defence ministers discuss Ukraine war in rare talks,POSITIVE,0.9981696605682373,0.8158578276634216,0.1111774742603302,0.024628596380352974,0.022412262856960297,0.01681647263467312,0.009107368998229504
2022-10-10T16:07:42Z,Russian pop star who criticised Ukraine war says she is in Israel,NEGATIVE,0.9666649103164673,0.9656240940093994,0.02936699241399765,0.0021575314458459616,0.0019700652919709682,0.0005144496099092066,0.00036691396962851286
2022-08-26T17:50:05Z,Russia-Ukraine war: EU to hold urgent talks over Russian ‘energy war’; Ukraine announces mandatory evacuations – as it happened ,NEGATIVE,0.9572626948356628,0.7658737897872925,0.10358517616987228,0.07228023558855057,0.052905697375535965,0.0034240661188960075,0.0019310268107801676
2022-10-15T18:12:08Z,"Russia-Ukraine war live: ‘endemic corruption and poor logistics’ harming Russian military, says UK – as it happened",NEGATIVE,0.9994428753852844,0.842208981513977,0.1271478533744812,0.023102983832359314,0.005280798301100731,0.0011701787589117885,0.0010891943238675594
2022-09-05T18:00:05Z,Russia-Ukraine war: Ukraine says it has pushed Russian forces back near Kramatorsk; last Zaporizhzhia reactor disconnected after Russian shelling – as it happened,NEGATIVE,0.9969876408576965,0.9372361898422241,0.04920034110546112,0.010224003344774246,0.0021084474865347147,0.0006374226068146527,0.0005935921799391508
2022-10-20T18:05:22Z,Russia-Ukraine war: UK sanctions Iran over drones used in Russian attacks in Ukraine; Kyiv restricts power use – as it happened,NEGATIVE,0.9948000907897949,0.8501538038253784,0.10659794509410858,0.03224753215909004,0.008437968790531158,0.0013773160753771663,0.0011854657204821706
2022-09-16T20:04:36Z,Russia-Ukraine war: senior pro-Russian officials reported killed; Ukraine says mass grave found at Izium – as it happened,NEGATIVE,0.9958038926124573,0.7170016169548035,0.14136137068271637,0.1291223168373108,0.007492505479604006,0.0033719667699187994,0.0016501890495419502
2022-10-18T16:02:47Z,How soulmates Hungary and Poland fell out over Ukraine war,POSITIVE,0.506138801574707,0.9155020713806152,0.06808077543973923,0.006498273462057114,0.0057023498229682446,0.0034953788854181767,0.0007212131167761981
2022-06-03T14:29:22Z,Russian troops pound Donbas as Ukraine war enters 100th day,NEGATIVE,0.9068238139152527,0.6597704887390137,0.15720048546791077,0.09477993100881577,0.07641345262527466,0.007332785986363888,0.0045028794556856155
2022-09-23T15:40:32Z,Berlusconi claims Russians ‘pushed’ Putin into Ukraine war,NEGATIVE,0.9542509317398071,0.9771687984466553,0.011809013783931732,0.004764999728649855,0.004123376682400703,0.0012870298232883215,0.0008467782754451036
